full_name,position,career_length,position_group
Khalil Mack,DE,10,DL
Kyle Fuller,CB,9,DB
Ego Ferguson,DE,3,DL
Troy Niklas,TE,5,TE
Carlos Hyde,RB,7,RB
Jack Mewhort,G,3,OL
Spencer Long,G,6,OL
Will Sutton,DE,4,DL
Louis Nix,NT,1,DL
Kareem Martin,LB,6,LB
John Brown,WR,8,WR
Bashaud Breeland,CB,7,DB
DaQuan Jones,DE,10,DL
Andre Williams,RB,3,RB
Ka'Deem Carey,RB,3,RB
Marqueston Huff,FS,4,DB
De'Anthony Thomas,WR,6,WR
Dontae Johnson,CB,8,DB
James White,RB,8,RB
Brock Vereen,S,2,DB
Lorenzo Taliaferro,RB,3,RB
Cameron Fleming,T,10,OL
Caraun Reid,DT,7,DL
Jeoffrey Pagan,DE,2,DL
Alfred Blue,RB,5,RB
David Fales,QB,6,QB
Pat O'Donnell,P,10,SP
Demetri Goodson,CB,4,DB
Zach Moore,DE,4,DL
Eric Pinkins,LB,4,LB
Jay Prosch,FB,4,RB
Andre Hal,SS,4,DB
Beau Allen,NT,6,DL
Jabari Price,CB,3,DB
Zach Hocker,K,3,SP
Charles Leno,T,5,OL
Terrance Mitchell,CB,9,DB
Lonnie Ballentine,FS,3,DB
Shaquil Barrett,OLB,10,LB
Kapri Bibbs,RB,4,RB
Deandre Coleman,DT,3,DL
Zach Kerr,NT,7,DL
Travis Coons,K,3,SP
Greg Ducre,CB,3,DB
Adarius Glanton,LB,1,LB
Andrew Norwell,G,8,OL
Brandon Dunn,DT,6,DL
Ryan Groy,G,6,OL
Christian Jones,ILB,9,LB
Chris Boswell,K,10,SP
Max Bullough,ILB,2,LB
James Morris,LB,2,LB
Tyler Ott,LS,10,SP
Carlos Fields,LB,3,LB
Seth Roberts,WR,6,WR
Scott Simonson,TE,6,TE
Timmy Jernigan,DT,6,DL
Preston Brown,MLB,6,LB
Khyri Thornton,DT,3,DL
Jaylen Watkins,CB,6,DB
Bryan Stork,C,2,OL
Cassius Marsh,DE,7,DL
Nevin Lawson,CB,7,DB
Brent Urban,DE,10,DL
Taylor Hart,DE,4,DL
Ricardo Allen,S,7,DB
Kevin Pamphile,T,6,OL
Kenneth Acker,CB,4,DB
T.J. Jones,WR,5,WR
Luke Bowanko,C,5,OL
Daniel McCullers,NT,2,DL
Tyler Starr,DE,2,DL
David Foucault,T,1,OL
Cairo Santos,K,10,SP
Chris McCain,OLB,4,LB
Rashaun Allen,TE,1,TE
Malcolm Butler,CB,8,DB
Taylor Gabriel,WR,6,WR
Robert Nelson,CB,4,DB
Odell Beckham,WR,7,WR
Brandin Cooks,WR,10,WR
Teddy Bridgewater,QB,10,QB
Weston Richburg,C,7,OL
Devon Kennard,OLB,8,LB
Shamar Stephen,NT,7,DL
Brandon Watts,OLB,3,LB
Ken Bishop,DT,1,DL
K'Waun Williams,CB,9,DB
Denico Autry,DT,10,DL
Kasim Edebali,LB,5,LB
Anthony Barr,OLB,9,LB
Paul Richardson,WR,6,WR
Jeremiah Attaochu,OLB,8,LB
Aaron Colvin,CB,6,DB
Logan Thomas,QB,10,QB
Tre Boston,FS,6,DB
Bene' Benwikere,CB,5,DB
Avery Williamson,ILB,7,LB
Ed Stinson,DT,3,DL
Zach Mettenberger,QB,2,QB
Antone Exum,FS,5,DB
Walter Powell,WR,1,WR
T.J. Carrie,CB,8,DB
Shelby Harris,DE,10,DL
Jonathan Dowling,FS,2,DB
Cameron Brate,TE,8,TE
Tyler Patmon,CB,5,DB
Branden Oliver,RB,4,RB
Jake Matthews,T,10,OL
Derek Carr,QB,10,QB
Ra'Shede Hageman,DT,4,DL
Justin Britt,G,8,OL
Scott Crichton,DE,2,DL
Travis Swanson,C,4,OL
Devonta Freeman,RB,7,RB
Aaron Murray,QB,1,QB
A.J. McCarron,QB,1,QB
Craig Watts,G,3,OL
Dee Ford,OLB,8,LB
Jimmie Ward,FS,10,DB
Jordan Matthews,WR,10,WR
Trent Murphy,OLB,6,LB
Jeremy Hill,RB,5,RB
C.J. Fiedorowicz,TE,3,TE
Will Clarke,DE,5,DL
Brandon Thomas,G,5,OL
Russell Bodine,C,6,OL
Walt Aikens,SS,6,DB
Kevin Pierre-Louis,OLB,8,LB
Telvin Smith,OLB,4,LB
Devin Street,WR,3,WR
Ed Reynolds,S,3,DB
Jordan Tripp,OLB,3,LB
Wesley Johnson,T,5,OL
Matt Hazel,WR,3,WR
Terrence Fede,DE,5,DL
Sammy Watkins,WR,8,WR
Bruce Ellington,WR,4,WR
Kevin Norwood,WR,3,WR
Morgan Moses,T,10,OL
Pierre Desir,CB,7,DB
Fitzgerald Toussaint,RB,4,RB
Ha Ha Clinton-Dix,FS,7,DB
Jason Verrett,CB,9,DB
Cyrus Kouandjio,T,4,OL
Kony Ealy,DE,4,DL
Marcus Martin,C,7,OL
Terrence Brooks,FS,8,DB
Donte Moncrief,WR,6,WR
Calvin Pryor,SS,3,DB
Cody Latimer,WR,6,WR
Jimmy Garoppolo,QB,10,QB
Justin Ellis,NT,9,DL
Keith McGill,CB,3,DB
Anthony Hitchens,MLB,7,LB
Matt Paradis,C,7,OL
Corey Nelson,ILB,6,LB
Michael Schofield,T,9,OL
Lamin Barrow,MLB,3,LB
Kyle Van Noy,OLB,10,LB
Christian Kirksey,ILB,10,LB
Trai Turner,G,9,OL
Jadeveon Clowney,OLB,10,LB
Ryan Shazier,ILB,5,LB
Deone Bucannon,SS,6,DB
Gabe Jackson,G,9,OL
Brandon Linder,G,8,OL
Bradley Roby,CB,9,DB
Martavis Bryant,WR,6,WR
Terrance West,RB,4,RB
Jerick McKinnon,RB,9,RB
Darqueze Dennard,CB,8,DB
Davante Adams,WR,10,WR
Jarvis Landry,WR,8,WR
Dezmen Southward,CB,4,DB
Richard Rodgers,TE,8,TE
Greg Robinson,T,6,OL
Eric Ebron,TE,7,TE
Aaron Donald,DT,10,DL
Lamarcus Joyner,CB,8,DB
Charles Sims,RB,4,RB
Tre Mason,RB,2,RB
Dri Archer,RB,2,RB
Maurice Alexander,SS,9,DB
Christian Bryant,S,3,DB
Demetrius Rhaney,C,5,OL
Zack Martin,G,10,OL
Jay Bromley,DT,5,DL
Adrian Phillips,S,9,DB
Blake Bortles,QB,7,QB
Mike Evans,WR,10,WR
Johnny Manziel,QB,2,QB
Xavier Su'a-Filo,G,7,OL
Demarcus Lawrence,DE,10,DL
Stephon Tuitt,DE,8,DL
Bishop Sankey,RB,3,RB
Dexter McDougle,CB,4,DB
Ja'Wuan James,T,8,OL
Austin Seferian-Jenkins,TE,4,TE
Dominique Easley,DT,4,DL
Joel Bitonio,G,10,OL
Todd Davis,ILB,7,LB
Allen Robinson,WR,10,WR
Marqise Lee,WR,6,WR
Billy Turner,G,9,OL
Justin Gilbert,CB,2,DB
Taylor Lewan,T,8,OL
Glenn Winston,RB,2,RB
Jerome Cunningham,TE,6,TE
T.J. Fatinikun,DE,1,DL
Delvin Breaux,CB,3,DB
Uani 'Unga,MLB,1,LB
Brian Peters,LB,4,LB
Jason Myers,K,10,SP
Jarryd Hayne,RB,1,RB
Jordan Berry,P,8,SP
Jameis Winston,QB,10,QB
Dylan Thompson,QB,1,QB
DeAndrew White,WR,6,WR
Jermaine Whitehead,DB,5,DB
Quan Bray,WR,4,WR
Tyler Varga,RB,1,RB
Trey Williams,RB,4,RB
La'el Collins,G,10,OL
Darrian Miller,T,2,OL
Terrance Plummer,LB,2,LB
Amari Cooper,WR,10,WR
Trae Waynes,CB,7,DB
DeVante Parker,WR,10,WR
Nelson Agholor,WR,10,WR
Shaq Thompson,OLB,10,LB
Eddie Goldman,NT,10,DL
Jalen Collins,CB,5,DB
Benardrick McKinney,ILB,7,LB
Eric Kendricks,MLB,10,LB
Eric Rowe,CB,10,DB
Nate Orchard,OLB,7,LB
Jordan Phillips,DT,10,DL
Maxx Williams,TE,8,TE
Jordan Richards,DB,7,DB
Jaelen Strong,WR,4,WR
Hroniss Grasu,C,9,OL
Owamagbe Odighizuwa,DE,1,DL
Lorenzo Mauldin,OLB,4,LB
Danielle Hunter,DE,10,DL
Trey Flowers,DE,9,DL
Daryl Williams,T,7,OL
Bryce Petty,QB,4,QB
Jeremy Langford,RB,4,RB
Justin Hardy,WR,6,WR
Clayton Geathers,FS,6,DB
T.J. Clemmings,T,6,OL
Tre' Jackson,G,1,OL
Gabe Wright,DT,7,DL
Jamil Douglas,G,8,OL
Za'Darius Smith,OLB,10,LB
Javorius Allen,RB,6,RB
Jake Ryan,ILB,5,LB
Shaquille Mason,G,4,OL
Mark Glowinski,G,10,OL
Tray Walker,CB,1,DB
Grady Jarrett,DT,10,DL
Adrian Amos,S,10,DB
MyCole Pruitt,TE,10,TE
Bobby McCain,CB,10,DB
Stefon Diggs,WR,10,WR
Brett Hundley,QB,8,QB
Jay Ajayi,RB,5,RB
David Parry,NT,5,DL
Jarvis Harrison,G,3,OL
Tony Lippett,CB,5,DB
Michael Burton,FB,10,RB
David Mayo,MLB,9,LB
Tye Smith,CB,8,DB
Nick Boyle,TE,8,TE
Cameron Artis-Payne,RB,5,RB
Keith Mumphery,WR,2,WR
Robert Myers,G,3,OL
Tayo Fabuluje,T,2,OL
B.J. Dubose,DE,1,DL
Randall Evans,DB,3,DB
Leterrius Walton,DE,1,DL
Quandre Diggs,CB,10,DB
Darren Waller,WR,10,WR
Aaron Ripkowski,FB,4,RB
Amarlo Herrera,LB,2,LB
Obum Gwacham,DE,5,DL
Kennard Backman,TE,2,TE
Kristjan Sokoli,G,4,OL
Christian Covington,NT,9,DL
Deon Simon,NT,5,DL
Bobby Hart,T,9,OL
Austin Shepherd,G,2,OL
Edmond Robinson,OLB,6,LB
Corey Robinson,T,5,OL
Akeem King,CB,6,DB
Denzelle Good,T,8,OL
Merrill Noel,DB,1,DB
A.J. Tarpley,MLB,1,LB
Kyle Brindza,K,1,SP
Isaiah Johnson,DB,9,DB
Kevin Snyder,LB,3,LB
Zach Zenner,RB,5,RB
Joey Mbu,NT,5,DL
Robenson Therezie,S,4,DB
Terron Ward,RB,3,RB
Raheem Mostert,RB,10,RB
Denzel Rice,CB,5,DB
Cariel Brooks,CB,2,DB
Alani Fua,ILB,3,LB
Gabe Martin,LB,4,LB
Xavier Williams,NT,7,DL
Matt Darr,P,5,SP
Andrew Franks,K,3,SP
Mike Hull,LB,6,LB
Zach Vigil,LB,4,LB
Thurston Armbrister,LB,4,LB
Corey Grant,RB,5,RB
Nick Marshall,CB,2,DB
Neville Hewitt,LB,10,LB
Akeem Hunt,RB,4,RB
Matt LaCosse,TE,7,TE
Jameill Showers,QB,5,QB
Lucky Whitehead,WR,4,WR
Nick Easton,C,6,OL
Kaleb Johnson,G,4,OL
Terrence Magee,RB,4,RB
De'Ondre Wesley,T,5,OL
Troy Hill,CB,10,DB
Trevor Roach,LB,2,LB
DeShawn Williams,DT,10,DL
Justin Coleman,DB,8,DB
Anthony Harris,DB,8,DB
Taylor Heinicke,QB,10,QB
Malcolm Brown,RB,8,RB
Matt Longacre,DE,4,DL
Cameron Lynch,OLB,4,LB
Tyler Murphy,WR,1,WR
Bradley Marquez,WR,4,WR
Louis Trinca-Pasat,DT,3,DL
Darrell Williams,T,5,OL
John Crockett,RB,3,RB
Ladarius Gunter,CB,1,DB
Alonzo Harris,RB,1,RB
Mitchell Henry,TE,2,TE
Ryan Delaire,DE,3,DL
Deshazor Everett,CB,7,DB
Rannell Hall,WR,3,WR
Josh Keyes,LB,4,LB
Caushaud Lyons,DE,4,DL
David Andrews,C,10,OL
Eric Patterson,CB,2,DB
Wes Saxton,TE,4,TE
Jordan Williams,DE,7,DL
Dean Marlowe,SS,9,DB
Brandon Wegher,RB,1,RB
Robertson Daniel,CB,4,DB
Gabe Holmes,TE,5,TE
Tevin McDonald,FS,1,DB
Leon Orr,DT,2,DL
Josh Shirley,DE,2,DL
Keenan Lambert,S,2,DB
Ronald Martin,SS,5,DB
Thomas Rawls,RB,5,RB
Jonathan Anderson,LB,5,LB
Bryce Callahan,CB,8,DB
Jacoby Glenn,CB,3,DB
Rick Lovato,LS,10,SP
Cameron Meredith,WR,5,WR
John Timu,ILB,4,LB
De'Ante Saunders,S,1,DB
Kurtis Drummond,S,4,DB
Kendall Lamm,T,10,OL
Khari Lee,TE,5,TE
Greg Mancz,C,9,OL
Carlos Thompson,OLB,4,LB
Chandler Worthy,WR,2,WR
Leonard Williams,DE,10,DL
Devin Smith,WR,6,WR
Preston Smith,OLB,10,LB
Mitch Morse,C,10,OL
Quinten Rollins,CB,5,DB
Carl Davis,NT,10,DL
Geneo Grissom,DE,5,DL
Jamison Crowder,WR,10,WR
Arie Kouandjio,G,4,OL
Ramik Wilson,ILB,5,LB
Doran Grant,CB,3,DB
Martrell Spaight,ILB,4,LB
Tyeler Davison,DT,8,DL
Ryan Russell,DE,4,DL
Damian Swann,CB,3,DB
D.J. Alexander,ILB,6,LB
James O'Shaughnessy,TE,8,TE
Kyshoen Jarrett,FS,1,DB
Geremy Davis,WR,6,WR
Evan Spencer,WR,2,WR
Charles Gaines,DB,3,DB
Anthony Chickillo,OLB,6,LB
Rakeem Nunez-Roches,DE,10,DL
Marcus Murphy,RB,6,RB
Mark Nzeocha,LB,7,LB
Mario Alford,WR,3,WR
E.J. Bibbs,TE,3,TE
Darius Jennings,WR,6,WR
Richard Ash,DT,4,DL
Harold Jones-Quartey,S,4,DB
David Irving,DE,5,DL
Ben Edwards,WR,2,WR
Will Tye,TE,5,TE
Quinton Dunbar,CB,7,DB
Donteea Dye,WR,4,WR
Adam Humphries,WR,8,WR
SaQwan Edwards,CB,2,DB
Terry Williams,DT,2,DL
Bobby Richardson,DE,3,DL
Kaleb Eulls,DT,4,DL
Tavaris Barnes,DE,4,DL
Yannik Cudjoe-Virgil,LB,2,LB
Cody Riggs,CB,3,DB
Quinton Spain,G,7,OL
J.R. Tavai,LB,2,LB
Andrew Turzilli,WR,3,WR
Brandon Scherff,G,10,OL
Breshad Perriman,WR,9,WR
Devin Funchess,WR,8,WR
Hau'oli Kikaha,LB,4,LB
Jaquiski Tartt,SS,8,DB
Tevin Coleman,RB,8,RB
Eli Harold,OLB,5,LB
Xavier Cooper,DE,4,DL
Blake Bell,TE,9,TE
Mike Davis,RB,8,RB
Bradley Pinion,P,10,SP
Ian Silberman,G,5,OL
Derron Smith,FS,5,DB
Dezmin Lewis,WR,3,WR
Trenton Brown,T,5,OL
Tyreek Burwell,T,4,OL
Nick Dzubnar,ILB,7,LB
Josh Lambo,K,8,SP
Brian Parker,TE,5,TE
Dreamius Smith,RB,2,RB
Daniel Brown,WR,7,WR
Stephone Anthony,MLB,6,LB
Denzel Perryman,ILB,10,LB
Ameer Abdullah,RB,10,RB
Craig Mager,CB,4,DB
Angelo Blackson,DE,10,DL
James Sample,FS,2,DB
Kwon Alexander,MLB,10,LB
Kyle Emanuel,OLB,5,LB
Shaquille Riddick,LB,2,LB
J.J. Nelson,WR,7,WR
Deiontrez Mount,OLB,4,LB
Kaelin Clay,WR,4,WR
Darius Philon,DE,6,DL
Nick O'Leary,TE,6,TE
Andy Gallik,C,2,OL
Neal Sterling,WR,4,WR
Joey Iosefa,RB,2,RB
Tre McBride,WR,5,WR
Markus Golden,LB,10,LB
Chris Conley,WR,10,WR
Jordan Hicks,ILB,10,LB
Jalston Fowler,FB,4,RB
Rodney Gunter,NT,6,DL
Max Garcia,G,9,OL
David Cobb,RB,2,RB
C.J. Uzomah,TE,10,TE
Jesse James,TE,9,TE
Lorenzo Doss,CB,5,DB
Darius Kilgo,NT,6,DL
Geoff Swaim,TE,10,TE
Danny Shelton,NT,9,DL
Melvin Gordon,RB,9,RB
Cameron Erving,G,10,OL
Bud Dupree,OLB,10,LB
Ty Sambrailo,T,7,OL
Garrett Grayson,QB,4,QB
John Miller,G,8,OL
Steven Nelson,CB,10,DB
Jon Feliciano,G,10,OL
Karlos Williams,RB,2,RB
Max Valles,DE,3,DL
Trevor Siemian,QB,10,QB
Taurean Nixon,DB,4,DB
Tyrell Williams,WR,7,WR
T.Y. McGill,DT,10,DL
Arik Armstead,DT,10,DL
Marcus Peters,CB,9,DB
Sammie Coates,WR,4,WR
Paul Dawson,OLB,1,LB
Marcus Hardison,DT,4,DL
Rashad Greene,WR,4,WR
Hayes Pullard,LB,5,LB
Houston Bates,LB,2,LB
Tevin Westbrook,TE,3,TE
Vince Mayle,WR,5,WR
Tony Steward,LB,2,LB
Daniel Munyer,C,8,OL
Ronald Darby,CB,10,DB
Jake Fisher,T,4,OL
Randy Gregory,DE,10,DL
Ibraheim Campbell,SS,7,DB
Ty Montgomery,WR,9,WR
Ben Heeney,MLB,4,LB
Andrus Peat,T,10,OL
Chaz Green,T,8,OL
Neiron Ball,OLB,2,LB
Phillip Dorsett,WR,10,WR
T.J. Yeldon,RB,6,RB
Frank Clark,DE,9,DL
Tyler Lockett,WR,10,WR
Dexter McDonald,CB,4,DB
Tyler Kroft,TE,9,TE
Damien Wilson,OLB,10,LB
Donovan Smith,T,9,OL
Dorial Green-Beckham,WR,2,WR
Shane Ray,OLB,6,LB
D.J. Humphries,T,10,OL
Joe Cardona,LS,10,SP
Cedric Ogbuehi,T,9,OL
Laken Tomlinson,G,10,OL
Byron Jones,CB,8,DB
Vic Beasley,DE,6,DL
Todd Gurley,RB,6,RB
Rob Havenstein,T,10,OL
Ali Marpet,G,7,OL
Jamon Brown,G,6,OL
Sean Mannion,QB,9,QB
Andrew Donnal,T,6,OL
Cody Wichmann,G,6,OL
Bryce Hager,MLB,6,LB
Kasen Williams,WR,4,WR
Damarious Randall,CB,7,DB
A.J. Cann,G,8,OL
Clive Walford,TE,6,TE
Duke Johnson,RB,8,RB
Ereck Flowers,T,7,OL
Malcom Brown,DT,8,DL
Landon Collins,FS,8,DB
Jeremiah Poutasi,T,5,OL
Marcus Mariota,QB,10,QB
Henry Anderson,DT,9,DL
D'Joun Smith,CB,3,DB
Isaiah Battle,T,3,OL
Jude Adjei-Barimah,DB,3,DB
Brad Bars,DE,2,DL
L.P. LaDouceur,LS,4,SP
Domata Peko Sr.,DL,4,DL
Mike DeVito,DL,1,DL
Stephen Hauschka,K,5,SP
Matthew Slater,WR,4,WR
Dobson Collins,WR,1,WR
Greg Toler,DB,1,DB
Ziggy Hood,DL,4,DL
Mike Mitchell,DB,3,DB
Chris Owens,DB,2,DB
Josh Mauga,LB,2,LB
Jon Weeks,LS,6,SP
Thad Lewis,QB,2,QB
Jeffrey Linkenbach,OL,1,OL
NaVorro Bowman,LB,2,LB
Jerrod Johnson,QB,1,QB
Michael Huey,OL,1,OL
Mike Morgan,LB,2,LB
Marcus Harris,WR,2,WR
Jerrell Harris,NAN,1,OTHER
Giorgio Tavecchio,K,5,SP
Kashif Moore,WR,1,WR
Garth Gerhart,OL,1,OL
Chigbo Anunoby,DL,1,DL
Valentino Blake,DB,2,DB
Chas Alecxih,DL,1,DL
LaRon Byrd,WR,1,WR
Michael Harris,OL,1,OL
Nate Stupar,LB,4,LB
Keith Browner,DL,1,DL
Edawn Coughman,NAN,1,OTHER
Marcel Jones,OL,1,OL
Trevor Graham,WR,2,WR
Robert Griffin III,QB,3,QB
Ifeanyi Momah,TE,2,TE
John Wetzel,OL,5,OL
Troy Stoudermire,WR,1,WR
Dax Swanson,DB,1,DB
Rick Wagner,OL,5,OL
Jason Weaver,OL,1,OL
Marquis Jackson,DL,1,DL
Chris Hubbard,OL,5,OL
Luke Marquardt,OL,1,OL
Cameron Marshall,RB,1,RB
Tristan Okpalaugo,LB,1,LB
Terrell Sinkfield,WR,4,WR
Will Pericak,OL,3,OL
Jordan Dangerfield,DB,5,DB
Lawrence Okoye,DL,2,DL
Chuck Jacobs,WR,1,WR
Nickell Robey-Coleman,DB,4,DB
JC Tretter,OL,4,OL
Jesse Williams,DL,1,DL
Quanterus Smith,DL,1,DL
Charles D. Johnson,WR,4,WR
Jared Smith,OL,1,OL
Brandon Hepburn,LB,1,LB
Carter Bykowski,OL,1,OL
Dalton Freeman,OL,1,OL
Eric Rogers,WR,1,WR
Uzoma Nwachukwu,WR,2,WR
Sean Porter,LB,2,LB
Cobi Hamilton,WR,3,WR
Jonathan Amosa,RB,1,RB
Freddie Bishop,LB,3,LB
Matt McGloin,QB,3,QB
Phillip Thomas,DB,1,DB
Tank Carradine,LB,4,LB
EJ Manuel,QB,3,QB
Patrick Murray,K,2,SP
Jeremy Vujnovich,OL,5,OL
Henoc Muamba,LB,1,LB
Marcus Ball,DB,1,DB
Connor Shaw,QB,2,QB
Isaiah Burse,WR,2,WR
Stephen Houston,RB,1,RB
Deontae Skinner,LB,3,LB
Blake Annen,TE,1,TE
Karim Barton,OL,2,OL
Kadron Boone,WR,1,WR
David Fluellen,RB,5,RB
Kevin Graf,OL,2,OL
Donald Hawkins,OL,2,OL
Mohammed Seisay,DB,1,DB
Freddie Martino,WR,3,WR
Bernard Reedy,WR,3,WR
Rajion Neal,RB,1,RB
Ryan White,DB,1,DB
Dillon Farrell,OL,1,OL
Curtis Feigt,OL,1,OL
Dan France,OL,2,OL
Trey Hopkins,OL,6,OL
James Wilder Jr.,RB,1,RB
Rashaad Reynolds,DB,2,DB
Josh Wells,OL,8,OL
Josh Allen,OL,9,OL
Kamal Johnson,DL,1,DL
Tyler Larsen,OL,8,OL
Garrison Smith,DL,3,DL
Roy Philon,DL,2,DL
Anthony Steen,OL,2,OL
Kelvin Palmer,OL,1,OL
Corey Washington,WR,2,WR
Torrence Allen,WR,1,WR
Alden Darby,DB,1,DB
Tenny Palepoi,DL,3,DL
Colton Underwood,TE,1,TE
Conor Boffeli,OL,1,OL
Kain Colter,WR,1,WR
Isame Faciane,OL,2,OL
Donte Foster,WR,1,WR
Dominique Williams,RB,1,RB
John Fullington,OL,3,OL
Casey Kreiter,LS,9,SP
Ronald Patrick,OL,2,OL
Silas Redd,RB,1,RB
Ben Gardner,LB,1,LB
Xavier Grimble,TE,5,TE
Jace Amaro,TE,3,TE
Shaq Evans,WR,1,WR
Carl Bradford,LB,2,LB
Tom Savage,QB,4,QB
David Yankey,OL,2,OL
Nat Berhe,DB,3,DB
Vinnie Sunseri,DB,2,DB
Ronald Powell,LB,2,LB
Lache Seastrunk,RB,1,RB
Charles Leno Jr.,OL,4,OL
William Poehls,OL,4,OL
Carrington Byndom,DB,1,DB
Adarius Taylor,LB,5,LB
Marcus Lucas,TE,4,TE
Darrin Reaves,RB,1,RB
Anthony Denham,TE,3,TE
Matt Feiler,OL,8,OL
Chris Martin,OL,1,OL
Bryan Witzmann,OL,6,OL
George Atkinson,RB,3,RB
Erle Ladson,OL,1,OL
Kadeem Edwards,OL,3,OL
Jimmy Staten,DL,2,DL
Jon Halapio,OL,6,OL
Bennett Jackson,DB,4,DB
Tyler Gaffney,RB,3,RB
Dan McCullers,DL,4,DL
Ben Gottschalk,OL,1,OL
Senorise Perry,RB,5,RB
RaShaun Allen,TE,2,TE
Julius Warmsley,DL,3,DL
Stanley Jean-Baptiste,DB,4,DB
Storm Johnson,RB,2,RB
Walt Powell,WR,2,WR
Trey Millard,RB,1,RB
Arthur Lynch,TE,1,TE
AJ McCarron,QB,7,QB
Marquis Flowers,LB,4,LB
James Wright,WR,3,WR
Cyril Richardson,OL,2,OL
Jordan Zumwalt,LB,1,LB
Brandon Dixon,DB,2,DB
Al Louis-Jean,DB,1,DB
C.J. Goodwin,DB,9,DB
Kelvin Benjamin,WR,3,WR
Michael Palardy,P,8,SP
E.J. Gaines,DB,5,DB
Garrett Gilbert,QB,7,QB
Mitchell Van Dyk,OL,1,OL
Uani' Unga,LB,1,LB
Danny Mason,LB,2,LB
Chris Manhertz,TE,9,TE
Douglas McNeil,WR,1,WR
Brett Jones,OL,6,OL
Efe Obada,DL,9,DL
Issac Blakeney,WR,1,WR
Marcus Rush,LB,3,LB
Zack Hodges,LB,1,LB
Al-Hajj Shabazz,DB,2,DB
Junior Sylvestre,LB,2,LB
Reggie Bell,WR,1,WR
Randall Telfer,TE,2,TE
Dylan Wynn,DL,1,DL
Kevin White,WR,7,WR
Owa Odighizuwa,DL,3,DL
Alex Carter,DB,3,DB
Tre Jackson,OL,1,OL
Terry Poole,OL,1,OL
Shaq Mason,OL,6,OL
Mykkele Thompson,DB,2,DB
Cedric Thompson,DB,2,DB
Matt Wells,LB,1,LB
Tyrus Thompson,OL,2,OL
L.T. Walton,DL,5,DL
A.J. Derby,TE,4,TE
Christian Ringo,DL,7,DL
Reshard Cliett,LB,4,LB
Jake Rodgers,OL,5,OL
Kenny Hilliard,RB,2,RB
Brian Mihalik,OL,4,OL
Darryl Roberts,DB,6,DB
Ryan Murphy,DB,2,DB
Cedric Reed,DL,1,DL
Rasheed Bailey,WR,3,WR
Brett Boyko,OL,3,OL
Malcolm Bunche,OL,4,OL
Travis Raciti,DL,1,DL
Casey Pierce,TE,1,TE
Derek Akunne,LB,1,LB
Mike Lee,DB,1,DB
Joshua Stangby,WR,1,WR
Valerian Ume-Ezeoke,OL,1,OL
Shane Wynn,WR,3,WR
Cole Manhart,OL,1,OL
Eric Tomlinson,TE,9,TE
Chuka Ndulue,DL,1,DL
Zaire Anderson,LB,3,LB
Jordan Taylor,WR,4,WR
Rob Crisp,OL,1,OL
Edwin Jackson,LB,2,LB
Paul Lasike,RB,1,RB
Jaxon Shipley,WR,1,WR
Gannon Sinclair,TE,2,TE
Zack Wagenmann,LB,1,LB
Michael Liedtke,OL,5,OL
Jeff Luc,RB,1,RB
Eric Crume,DL,2,DL
Connor Hamlett,TE,2,TE
Chris Reed,OL,9,OL
Justin Currie,DB,4,DB
George Farmer,RB,1,RB
Antwan Goodley,WR,2,WR
Nick Harwell,NAN,1,OTHER
Shane McDermott,OL,1,OL
Joel Ross,DB,1,DB
Tim Scott,DB,3,DB
Ray Vinopal,DB,1,DB
Darryl Baldwin,OL,1,OL
Brennen Beyer,LB,2,LB
DeAndre Carter,WR,9,WR
Blaine Clausell,OL,3,OL
B.J. Finney,OL,6,OL
Eli Rogers,WR,4,WR
Jake Kumerow,WR,7,WR
Matt Lengel,TE,5,TE
Tom Obarski,K,1,SP
Floyd Raven,DB,1,DB
Terrell Watson,RB,3,RB
Jordan Leslie,WR,3,WR
Blake Renaud,RB,1,RB
Montell Garner,DB,1,DB
Jacob Hagen,DB,2,DB
Zach Laskey,RB,2,RB
Tyler Slavin,WR,1,WR
LaDarius Gunter,DB,3,DB
Lavon Hooks,DL,4,DL
Jermauria Rasco,LB,1,LB
Matt Rotheram,OL,2,OL
James Vaughters,LB,5,LB
Chris Hackett,DB,1,DB
Deion Barnes,DL,1,DL
Durell Eskridge,DB,1,DB
Julian Howsare,RB,2,RB
Damiere Byrd,WR,9,WR
Matt Wile,P,5,SP
Takoby Cofield,OL,1,OL
Jimmy Hall,DB,1,DB
Gus Johnson,RB,1,RB
Jesse Davis,OL,9,OL
Quayshawn Nealy,LB,1,LB
Levi Norwood,WR,1,WR
Olsen Pierre,DL,5,DL
Mike McFarland,TE,1,TE
Dan Pettinato,DL,1,DL
Chad Slade,OL,6,OL
Lynden Trail,LB,2,LB
Davis Tull,LB,3,LB
Austin Reiter,OL,8,OL
Da'Ron Brown,WR,2,WR
Abou Toure,RB,1,RB
John Peters,TE,1,TE
Cap Capi,DL,3,DL
Cameron Stingily,RB,1,RB
Brandon Person,NAN,1,OTHER
DeVante Bausby,DB,4,DB
Kenny Cook,WR,1,WR
Andrew East,LS,3,SP
Manasseh Garner,TE,4,TE
Justin March-Lillard,LB,5,LB
Tim Semisch,TE,3,TE
Isaac Fruechte,WR,2,WR
Mitchell Bell,OL,1,OL
Travell Dixon,DB,3,DB
Ashaad Mabry,DL,3,DL
Cyril Lemon,OL,1,OL
Sean Hickey,OL,3,OL
R.J. Harris,WR,1,WR
Toby Johnson,DL,3,DL
